Mouse ID,A0642,,,,,,,,,
Nickname,Dracula,,,,,,,,,
Date implanted,22/Feb/2021,,,,,,,,,
Structure,PSB,,,,,,,,,
,,,,,,,,,,
Recording day,Days from previous recording,Type of recording (Expl/Slp),Rigid Body,Rig,Processed? (Y/N),# of Cells,Issues/Comments,,,Path
##2021/03/19,N/A,Exploration,1,Circular,Y,100,,,,
##2021/03/23,4,Exploration,1,Circular,Y,75,,,,
##2021/03/26,3,Exploration,1,Circular,N,,Crashed,,,
##2021/04/12,17,Exploration,1,Circular,N,,Crashed,,,
##2021/04/13,1,Exploration,1,Circular,Y,122,,,,
##2021/04/14,1,Exploration,2,Circular,Y,80,,,,
##2021/04/15,1,Exploration,2,Circular,N,,EWL = 15,,,
##2021/04/16,1,Exploration,2,Circular,N,,,,,
##2021/04/17,1,Exploration,2,Circular,N,,,,,
##2021/04/18,1,Exploration,2,Circular,N,,,,,
2021/04/19,1,Exploration,2,Circular,Y,20,,,,
2021/04/20,1,Exploration,2,Circular,Y,51,,,,
2021/04/21,1,Exploration,2,Circular,Y,51,,,,
2021/04/22,1,Exploration,2,Circular,Y,48,,,,
2021/04/23,1,Exploration,2,Circular,N,,,,,
2021/04/26,3,Exploration,2,Circular,Y,49,,,,
2021/04/27,1,Exploration,2,Circular,Y,42,,,,
2021/04/28,1,Exploration,2,Circular,Y,59,,,,
2021/04/29,1,Exploration,2,Circular,Y,29,,,,
2021/04/30,1,Exploration,2,Circular,Y,27,,,,
2021/05/03,3,Exploration,2,Circular,Y,53,,,,
2021/05/04,1,Exploration,2,Circular,Y,70,,,,
2021/05/05,1,Exploration,2,Circular,Y,,,,,
2021/05/06,1,Exploration,2,Circular,Y,,,,,
2021/05/07,1,Exploration,2,Circular,N,,,,,
2021/05/10,3,Exploration,2,Circular,N,,,,,
2021/05/11,1,Exploration,2,Circular,N,,,,,
2021/05/12,1,Exploration,2,Circular,N,,,,,
2021/05/13,1,Exploration,2,Circular,N,,,,,
2021/05/14,1,Exploration,2,Circular,N,,,,,
